id,img,label,text,split,text_idx,pseudo_text_idx,pseudo_img_idx
42953,img/42953.png,0,its their character not their color that matters,train,0,4901,0
23058,img/23058.png,0,don't be afraid to love again everyone is not like your ex,train,1,3620,3486
13894,img/13894.png,0,putting bows on your pet,train,2,0,3956
37408,img/37408.png,0,i love everything and everybody! except for squirrels i hate squirrels,train,3,4451,4313
82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler",train,4,5609,1
16952,img/16952.png,0,go sports! do the thing! win the points!,train,5,4635,2
76932,img/76932.png,0,fine you're right. now can we fucking drop it?,train,6,3350,3
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,train,7,1,5321
02973,img/02973.png,0,how long can i run? till the chain tightens,train,8,2,3872
58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",train,9,3,1835
79351,img/79351.png,1,jew mad? get fuhrerious!,train,10,5200,4
34096,img/34096.png,0,"removes polish with chemicals, nobody bats an eye",train,11,5925,5756
25489,img/25489.png,1,brother... a day without a blast is a day wasted,train,12,3794,3679
19324,img/19324.png,0,when you're the only dog left at the dog shelter and the black family wants to adopt you,train,13,4,6963
79346,img/79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,train,14,5,5
13426,img/13426.png,0,they will soon be free,train,15,5173,6
97628,img/97628.png,0,"is it ok for your son or daughter to call another man ""daddy?",train,16,7402,7260
14238,img/14238.png,0,most religions are religions of peace,train,17,2195,7
28936,img/28936.png,0,when you find out there's an opening for the role of first lady,train,18,5284,8
59784,img/59784.png,0,if people reject me because i stand on the truth then i have no problem walking alone,train,19,5308,5150
02146,img/02146.png,0,from the bottom of my heart i would like to sincerely apologize..... for being white,train,20,2258,2136
70146,img/70146.png,0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",train,21,6,6587
28061,img/28061.png,0,just because they do this dosen't mean they'll do this,train,22,7219,9
97180,img/97180.png,1,if there is no race it can't be homicide,train,23,7,5622
49752,img/49752.png,0,here's to all my friends who never post about politics or religion,train,24,6451,10
25610,img/25610.png,0,enjoying a day at the beach,train,25,5047,11
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,train,26,8,12
72640,img/72640.png,0,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",train,27,3697,3583
64318,img/64318.png,0,when they take too long to blow out the candle,train,28,3258,13
17956,img/17956.png,0,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell,train,29,5907,5737
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,train,30,4538,4389
10743,img/10743.png,0,move to new york they said it'll be fun they said,train,31,6128,14
37091,img/37091.png,0,my sandwich-maker is very slow today,train,32,6827,6666
25719,img/25719.png,0,when you accidentally fall in the toilet,train,33,5005,15
